exp_id	date	track	parent_commit	commit	author	area	hypothesis	change	tier	levels	seeds	score_parent	score_new	delta	noise_se	paired_wins	paired_losses	guardrails	decision	jev_usd	sonnet_usd	wall_min	notes
EXP-0002	2026-09-22	t2	2cfbf9b	2cfbf9b	claude-code	executor	an exact retreat rule and a speed-scaled obstacle guard cut the deaths the executor introduced	engage backstop (retreat when hurt/outnumbered/dry), avoidance guard scaled to 0.35 s of travel, do not close on an enemy inside 260 units, plus the target rubric rewrite and relative_distance in the code rule	bench	E1M1,E1M2,E1M3,E1M4,E1M5,E1M6	1,2,3,4,5	0.0499	0.0362	-0.0137	0.0156	8	12	pass	discard	0.0	0.0	45.0	BUNDLE of three changes, against PROGRAM.md's one-change rule: they went in together while the executor landed, so the row cannot attribute the movement | no gain (-0.0137)
EXP-0003	2026-09-22	t2	50da602	78edf8c	claude-code	executor	a code baseline that does not choose fights is a fairer comparison partner and should not be more dangerous	engage_backstop defaults to 'Break off and go round' instead of 'Fight while moving'; the safety floor (critically hurt, outnumbered while hurt, nothing loaded) still retreats	bench	E1M1,E1M2,E1M3,E1M4,E1M5,E1M6	1,2,3,4,5	0.0435	0.0372	-0.0062	0.0156	8	15	fail	discard	0.0	0.0	50.0	| a guardrail failed
EXP-0001	2026-09-22	t2	78edf8c	905fb46	claude-code	sensing	barrier marks from a stuck push should expire in 25 s, not an hour: 92 percent of collapsed map rays were stopped by one	STUCK_BARRIER_S = 25.0 replaces the 3600.0 in Payload.observe's stuck branch	bench	E1M1,E1M2,E1M3,E1M4,E1M5,E1M6	1,2,3,4,5	0.0372	0.0393	0.002	0.0156	8	5	pass	inconclusive	0.0	0.0	20.0	| gain 0.0020 is inside 2.0 standard errors (se 0.0156, measured noise floor (4 levels)): rerun with [1, 2, 3, 4, 5, 6]
HIST-0001	2026-09-23	t2	672381c5	672381c5	claude-code	executor	a 5-seed E1M1 pass with the fixes of 22 September in the tree	run e1m1-a, 5 seeds on E1M1	bench	E1M1	1,2,3,4,5	0	0.0691	0.0	nan	0	0	fail	history	0.0	0.0	0.0	t2 history, recorded 24 Sep. Reconstructed from the commits of 22-23 Sep: the run recorded HEAD and most were taken from a dirty tree, so the commit column is where the tree was, not what was measured. Scored on t2's final-position progress, on E1M1, which is the test set. Nothing here is evidence on t3. | recorded after the fact; not paired, not compared
HIST-0002	2026-09-23	t2	b34944bc	b34944bc	claude-code	executor	ALIGN_FULL 70: run at full speed until 70 degrees off the aim point	run e1m1-align, 5 seeds on E1M1	bench	E1M1	1,2,3,4,5	0	0.0696	0.0	nan	0	0	fail	history	0.0	0.0	0.0	t2 history, recorded 24 Sep. Reconstructed from the commits of 22-23 Sep: the run recorded HEAD and most were taken from a dirty tree, so the commit column is where the tree was, not what was measured. Scored on t2's final-position progress, on E1M1, which is the test set. Nothing here is evidence on t3. | recorded after the fact; not paired, not compared
HIST-0003	2026-09-23	t2	672381c5	672381c5	claude-code	graph	the target head gets its own commitment margin, past a rubric level	run e1m1-commit, 5 seeds on E1M1	bench	E1M1	1,2,3,4,5	0	0.1818	0.0	nan	0	0	fail	history	0.0	0.0	0.0	t2 history, recorded 24 Sep. Reconstructed from the commits of 22-23 Sep: the run recorded HEAD and most were taken from a dirty tree, so the commit column is where the tree was, not what was measured. Scored on t2's final-position progress, on E1M1, which is the test set. Nothing here is evidence on t3. | recorded after the fact; not paired, not compared
HIST-0004	2026-09-23	t2	672381c5	672381c5	claude-code	planner	STEP_COST 6.0: charge the planner extra to cross a floor-height change	run e1m1-ledge, 5 seeds on E1M1	bench	E1M1	1,2,3,4,5	0	0.1655	0.0	nan	0	0	fail	history	0.0	0.0	0.0	t2 history, recorded 24 Sep. Reconstructed from the commits of 22-23 Sep: the run recorded HEAD and most were taken from a dirty tree, so the commit column is where the tree was, not what was measured. Scored on t2's final-position progress, on E1M1, which is the test set. Nothing here is evidence on t3. | recorded after the fact; not paired, not compared
HIST-0005	2026-09-23	t2	672381c5	672381c5	claude-code	sensing	LOOK_SPACING 256: a panorama every 256 units of new ground, not 512	run e1m1-look, 5 seeds on E1M1	bench	E1M1	1,2,3,4,5	0	0.2138	0.0	nan	0	0	fail	history	0.0	0.0	0.0	t2 history, recorded 24 Sep. Reconstructed from the commits of 22-23 Sep: the run recorded HEAD and most were taken from a dirty tree, so the commit column is where the tree was, not what was measured. Scored on t2's final-position progress, on E1M1, which is the test set. Nothing here is evidence on t3. | recorded after the fact; not paired, not compared
HIST-0006	2026-09-23	t2	672381c5	672381c5	claude-code	sensing	LOOK_SPACING 160: more panoramas again	run e1m1-look2, 5 seeds on E1M1	bench	E1M1	1,2,3,4,5	0	0.1599	0.0	nan	0	0	fail	history	0.0	0.0	0.0	t2 history, recorded 24 Sep. Reconstructed from the commits of 22-23 Sep: the run recorded HEAD and most were taken from a dirty tree, so the commit column is where the tree was, not what was measured. Scored on t2's final-position progress, on E1M1, which is the test set. Nothing here is evidence on t3. | recorded after the fact; not paired, not compared
HIST-0007	2026-09-23	t2	672381c5	672381c5	claude-code	sensing	the step detector off	run e1m1-nostep, 5 seeds on E1M1	bench	E1M1	1,2,3,4,5	0	0.1406	0.0	nan	0	0	fail	history	0.0	0.0	0.0	t2 history, recorded 24 Sep. Reconstructed from the commits of 22-23 Sep: the run recorded HEAD and most were taken from a dirty tree, so the commit column is where the tree was, not what was measured. Scored on t2's final-position progress, on E1M1, which is the test set. Nothing here is evidence on t3. | recorded after the fact; not paired, not compared
